"Group"	"Recovered"	"Scenario"
"NN"	0	"Nagoya"
"NN"	0	"Nagoya"
"NN"	1	"Nagoya"
"NN"	0	"Nagoya"
"NN"	0	"Nagoya"
"NN"	0	"Nagoya"
"NN"	1	"Nagoya"
"NN"	1	"Nagoya"
"YN"	0	"Nagoya"
"YN"	1	"Nagoya"
"YN"	0	"Nagoya"
"YN"	0	"Nagoya"
"YN"	0	"Nagoya"
"YN"	0	"Nagoya"
"YN"	0	"Nagoya"
"YN"	1	"Nagoya"
"NY"	0	"Nagoya"
"NY"	0	"Nagoya"
"NY"	1	"Nagoya"
"NY"	1	"Nagoya"
"NY"	0	"Nagoya"
"NY"	1	"Nagoya"
"YY"	0	"Nagoya"
"YY"	0	"Nagoya"
"YY"	0	"Nagoya"
"YY"	0	"Nagoya"
"YY"	0	"Nagoya"
"YY"	0	"Nagoya"
"YY"	1	"Nagoya"
"FL"	0	"Nagoya"
"FL"	0	"Nagoya"
"FL"	0	"Nagoya"
"FL"	1	"Nagoya"
"FL"	0	"Nagoya"
"FL"	1	"Nagoya"
"FL"	1	"Nagoya"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YN"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"YY"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"FL"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NN"	0	"Birmingham"
"NY"	0	"Birmingham"
"NY"	0	"Birmingham"
"NY"	1	"Birmingham"
"NY"	1	"Birmingham"
